Class Number,Class Name,Units,Description,Instructor,Terms Offered,Prerequisites,Equivalent Courses
ENGL ,Early Modern Loss and Longing,100 Units,"This course examines depictions of early modern desire and loss in genres including the essay, lyric, drama and fiction. The class will also have substantial engagement with affect theory as well as period theorizations (Neoplatonic accounts of desire, humoral accounts of melancholy, etc.) (Med/Ren, 18th/19th).",Sarah Kunjummen,"WinterEquivalent Course(s): GNSE 42182, GNSE 22182, ENGL 40182, MAPH 40182",,"GNSE 42182, GNSE 22182, ENGL 40182, MAPH 40182"
ENGL ,The Gender of Modernity,100 Units,"This course examines the dramatic revisions in gender and sexuality that characterize American modernity. Together, we will read literary texts by women and queer writers to investigate their role in shaping the period's emergent regimes of sex and gender. We'll consider modernist revisions of these concepts for their effect on America's broader social and political terrain and explore the intimate histories they made possible: What new horizons for kinship, care, affect, and the everyday reproduction of life did modernist ideas about sex and gender enable? This class doubles as an advanced introduction to gender and sexuality studies, with a particular emphasis on literary criticism. As we map the contours of a feminist and queer modernity, we will also be staging a series of encounters between our literary objects and influential theoretical texts. In so doing, we will consider a range of methodological orientations -  psychoanalytic, queer, Black feminist, Marxist, postcolonial, historicist, and so on - as themselves telling divergent stories about what it means to be a sexed and gendered body in American modernity. Readings may include works by Djuna Barnes, Gwendolyn Brooks, H.D., Charlotte Perkins Gilman, Henry James, Nella Larsen, Gertrude Stein; theoretical and critical work from Lauren Berlant, Leo Bersani, Judith Butler, Hélène Cixous, Lee Edelman, Rita Felski, Jack Halberstam, Saidiya Hartman, Eve Sedgwick, Hortense Spillers, Gayatri Spivak, Alys Weinbaum.",Agnes Malinowska,"WinterEquivalent Course(s): ENGL 40190, AMER 40190, GNSE 45150, GNSE 25150, MAPH 40190",,"ENGL 40190, AMER 40190, GNSE 45150, GNSE 25150, MAPH 40190"
ENGL ,Romantic Natures,100 Units,"Our survey of British Romantic literary culture will combine canonical texts (especially the major poetry) with consideration of the practices and institutions underwriting Romantic engagement with the natural world. We will also address foundational and recent critical-theoretical approaches to the many ""natures"" of Romanticism. Our contextual materials will engage the art of landscape, an influx of exotic and dangerously erotic flora, practices of collection and display, the emergent localism of the naturalist Gilbert White, the emergence of geological ""deep time,"" and the (literal) fruits of empire and vegetarianism. (Poetry, 1650-1830)",Timothy Campbell,Winter,,
ENGL ,Water Worlds,100 Units,"Taking its cue from a remarkable convergence of interest in recent and forthcoming cultural touchstones like Avatar: The Way of Water, Aquaman and the Lost Kingdom, and Wakanda Forever (along with recent scholarship on the cultural history of swimming; popular fascination with the aquatic ape theory of human evolution; recent theoretical embrace of aquatic scenes or modes of criticism and being; and productive conceptual distinctions between depths and shallows, fresh and saltwater, and the liquid and solid), this course examines foundational and new aquatic scenes of imagination: literary, cinematic, historical, and theoretical. (Fiction, Theory).",Timothy Campbell,Spring,,
ENGL ,"Subgenres of British Romantic Fiction: Gothic, Historical, Courtship",100 Units,"Survey of three major subgenres of the British Romantic novel: Gothic, Historical, Courtship, likely including work by Jane Austen, Walter Scott, Matthew Lewis, Ann Radcliffe, James Hogg, and Maria Edgeworth. (Fiction, 1650-1830)",Timothy Campbell,Autumn,,
ENGL ,Structural -isms,100 Units,"What does it mean to designate ""structure"" as the operative force in discrimination against categories of person-as in appeals to structural racism or structural violence on the basis of gender? And how can we approach this question by attending to aesthetic uses of structure and form, especially as these have been understood in such paradigms as structuralism and recent literary formalisms? How do we read for structure, in reading for racism and for systemic discrimination on other bases?
We'll focus on intersections of race, gender, and class (in U.S. contexts) as these categories have been reconfigured in the past half century or so. To explore appeals to structure, we'll consider definitions of literary and aesthetic form, debates about structure vs. agency, and questions of individual and collective action as mediated by institutions. Readings will balance theory with examples drawn from fiction, documentary film, built form, and other media. Throughout, we'll pay particular attention to problems of structure construed as problems of narrative, as we develop sharper terms for understanding how discrimination proceeds structurally.",Rowan Bayne,"SpringNote(s): Instructor consent required for undergraduates.Equivalent Course(s): GNSE 45141, GNSE 25141, ENGL 40141, MAPH 40141, CRES 40141, CRES 22141",,"GNSE 45141, GNSE 25141, ENGL 40141, MAPH 40141, CRES 40141, CRES 22141"
ENGL ,Means of Production I: Contemporary Literary Publishing (Books)  100 Units,,"This course will introduce students to the aesthetic criteria, cultural and institutional infrastructures, and collaborative practices of literary evaluation in the making of contemporary American poetry. How does a manuscript of poetry 'make it' onto the list of a literary publisher, and from there to the bookshelves of the Seminary Coop? How do individual readers and editorial collectives imagine the work of literary assessment and aesthetic judgment in our time? We will begin the course with a survey of new directions in Anglophone poetry as preparation for an intensive editorial practicum in the evaluation and assessment of literary manuscripts in the second half of the term. Visits with literary editors and authors will offer students opportunities to learn about the field of contemporary literary publishing. Course work will include reviewing and evaluating manuscript submissions to the Phoenix Poets book series at the University of Chicago Press. (Poetry)",Srikanth (Chicu) Reddy,Autumn,,
ENGL ,Means of Production II: Contemporary Literary Publishing (Magazines)  100 Units,,"How does a poem 'make it' into the pages of Chicago Review, or The Paris Review? How do individual readers and editorial collectives imagine the work of literary assessment and aesthetic judgment in our time? This course will introduce students to the aesthetic criteria, cultural and institutional infrastructures, and collaborative practices of literary evaluation in the making of contemporary American poetry. We will begin with a survey of new directions in Anglophone poetry and poetry in translation as preparation for an intensive editorial practicum in the production of literary magazines in the second half of the term. Visits with magazine editors will offer students opportunities to learn about the field of contemporary literary publishing. Course work will include researching and soliciting work from contemporary poets for The Paris Review. Note, ""Means of Production I: Books"" is not a prerequisite for this course. (Poetry)",Srikanth Reddy,"WinterNote(s): ""Means of Production I: Books"" is *not* a prerequisite for this course.",,
ENGL ,Housekeeping: Domestic Drama and Material Culture,100 Units,"The theatre represents a new and wildly successful commodity in the early modern English market. Yet it is often kept separate from other fashionable goods of the period by virtue of its intangible form. This course overturns the orthodoxy that an early modern play was a co-imaged event and the early modern theatre was an ""empty space"" by attending to the Renaissance theatre's frequent recourse to household stuff.
We will read plays designed for private performance, that use the fixtures of the household to build theatrical worlds. We will investigate dramatists who liken the playhouse to key venues of commodity culture, including the pawnshop, the Exchange (the precedent of the shopping mall), and the fairground. We will draw from Henslowe's Diary to recover the business of theatrical property-making and the allure of a company as disclosed by its holdings. All the while, we will question how the fiction of emptiness takes hold in theatre history, and how plays that depict a furnished world are relegated to second-class genres like domestic tragedy and city comedy. (Med/Ren)",Ellen MacKay,"AutumnEquivalent Course(s): ENGL 40250, TAPS 20362, GNSE 22260, TAPS 30362, GNSE 40250",,"ENGL 40250, TAPS 20362, GNSE 22260, TAPS 30362, GNSE 40250"
ENGL ,"Coming of Age: Autobiography, Bildungsroman, and Memoir in Victorian Britain and its Empire",100 Units,"In this course, we will consider the broad generic category of ""coming of age"" stories that characterized the literary writing of the nineteenth century.  Across several different kinds of writing, a focus on the growth and development of the child into adulthood became an obsessive focus. We will read autobiographies by Mill and Martineau, Bildungsroman by Bronte and Eliot, memoirs by Dickens but also lesser known figures: working class autodidacts, women in childbirth, colonial subjects.  We will, along the way, learn more about Victorian childhood, the emergence of developmental psychology, psychoanalysis, and the socio-psychological ""invention"" of adolescence. (1830-1990)",Elaine Hadley,SpringEquivalent Course(s): GNSE 22266,,GNSE 22266
ENGL ,Medieval Romance,100 Units,"Medieval romance is one of the main ancestors of fantasy and science fiction. This course examines the speculative work of fantasy in medieval romance's explorations of aesthetics, desire, and politics. (Pre-1650; Med/Ren)",Mark Miller,"AutumnEquivalent Course(s): GNSE 21304, GNSE 41304, ENGL 40304",,"GNSE 21304, GNSE 41304, ENGL 40304"
ENGL ,Shrews! Unladylike Conduct on Stage and Page in Early Modern England,100 Units,"This course will move between three sites of inquiry to investigate the social and material history of an evergreen trope: the domestication of a refractory servant or wife. From rare book libraries and museum collections, we will track the common features of popular entertainments that traffic in this scenario.  We will then bring our findings to bear in a theatre lab environment, where we will assay scenes from The Taming of the Shrew, The Tamer Tamed, and the City Madam. (Drama, Pre-1650)",Ellen MacKay,"WinterEquivalent Course(s): GNSE 20126, TAPS 20360",,"GNSE 20126, TAPS 20360"
ENGL ,Black Girlhood,100 Units,"First popularized on social media in 2013, the phrase ""Black Girl Magic"" has expanded far beyond its initial use as a twitter hashtag. It can be seen on (a bunch of different objects and the cover of many children's books and poetry anthologies). However, the visibility of the phrase did not come without controversy. Some critics argued that rather than being an uplifting rallying cry for positive depictions of black girlhood, it instead reinforced dehumanizing stereotypes of the ""strong black woman"". This debate leads us to question: How do black girls tend to be depicted both popular media and in literature? How might these depictions differ depending on author, type of media, or social context? What do they say about the ways that black girls experience childhood, gender, and friendship? To engage with these questions, this course will explore literary works including The Bluest Eye, Betsey Brown, and Abeng, along with television shows such as Lovecraft Country to examine 20th and 21st century depictions of black girlhood. We will also think with theoretical works of black feminism and black girlhood studies.",Danielle Jones,"SpringEquivalent Course(s): RDIN 20400, GNSE 33167, ENGL 30422, GNSE 23167, RDIN 30400",,"RDIN 20400, GNSE 33167, ENGL 30422, GNSE 23167, RDIN 30400"
ENGL ,"Faeries, Demons and Alchemists: Science, Magic and the Supernatural in Early Modern England",100 Units,"This course aims to explore the messy territory between the scientific, the magical and the religious in the sixteenth and seventeenth century. Readings will draw on scholarship in the history of science, by writers such as Frances Yates and Steven Shapin, and on period reflections on the pursuit of knowledge by thinkers such as Francis Bacon, Thomas Browne Margaret Cavendish and Robert Boyle, as well as representations of occult knowledge in the period's literature. Readings may include Marlowe's Doctor Faustus, Shakespeare's Midsummer Night's Dream, Jonson's The Alchemist, selections from Spenser's The Faerie Queene, and Bacon's The New Atlantis. (Pre-1650, 1650-1830; 18th/19th)",Sarah Kunjummen,"AutumnEquivalent Course(s): ENGL 40458, MAPH 40458",,"ENGL 40458, MAPH 40458"
ENGL ,Renaissance Now,100 Units,"This class will think about the reception of the Renaissance, in scholarship and popular culture, or from Burkhardt to Beyonce. What is at stake in the term? What does it mean to periodize a Western cultural past in this way, or to be founding a Renaissance in the present? Readings will include seminal accounts of the Renaissance by thinkers such as Jacob Burkhardt, Aby Warburg, Paul Oscar Kristeller and Joan Kelly, as well as contemporary cultural objects ranging from the film Shakespeare in Love to the fiction of Hilary Mantel and work in the visual arts by artists such as Kehinde Wiley and Harmonia Rosales. (Theory, 1830-1990; 20th/21st)",Sarah Kunjummen,"WinterEquivalent Course(s): MAPH 40460, ENGL 40460",,"MAPH 40460, ENGL 40460"
ENGL ,The Lives of Others,100 Units,"How much can you ever really know someone else? In this course, we take up the inscrutability of others through a range of narratives about - politically, socially, and geographically - distant others from the early 20th century. Texts include fiction, documentary film, and critical theory around transnationalism, contact zones and ethnography).  Some of these texts meditate on the general problem of living with others. Others take on the limits of empathy, access, and friendship whether explicitly or in their formal arrangement. Specifically, we focus on works that engage with an ethics or ""work on the self"" as a preliminary to having knowledge of others. We will be guided by primary readings that likely include Claude Levi-Strauss, Kazuo Ishiguro, Werner Herzog, Maggie Nelson, Amitav Ghosh, and J.M. Coetzee.
(Fiction, Literary/Critical theory; 20th/21st)",Darrel Chia,"AutumnEquivalent Course(s): ENGL 40464, MAPH 40464",,"ENGL 40464, MAPH 40464"
ENGL ,Renaissance Freedoms,100 Units,"This course explores early modern debates about human agency across multiple registers: political, philosophical, religious, erotic. Texts include selections from the writings of Thomas Hobbes and Baruch Spinoza, William Shakespeare, Elizabeth Carey, Margaret Cavendish and John Milton. (Poetry, Pre-1650, 1650-1830; Med/Ren",Sarah Kunjummen,"AutumnEquivalent Course(s): ENGL 40562, MAPH 40562",,"ENGL 40562, MAPH 40562"
ENGL ,Postcolonial Aesthetics,100 Units,"What do we mean by the ""postcolonial aesthetic""? 
In this course, we read and think through the literary and conceptual resources that might help us reconstruct this notion - from Deepika Bahri, to Theodor Adorno and Walter Benjamin. Our goal is to attend to ""the aesthetic"" as an experience that reshapes subjectivity in terms of our relation to ourselves and others. By engaging with twentieth-century novels, memoir, and film, we consider how this postcolonial aesthetic might function. What habituated forms of perception or common sense notions does it seek to interrupt? What ways of sensing and living does it offer?  
Readings will likely include Ashis Nandy, Deepika Bahri, Theodor Adorno, Derek Walcott, Frantz Fanon, Arundhati Roy, and Jean Rhys. (20th/21st)",Darrel Chia,"SpringEquivalent Course(s): ENGL 40565, MAPH 40565",,"ENGL 40565, MAPH 40565"
ENGL ,"Performing Skateboard Poetics: Style, Motion, and Space",100 Units,"This Gray Center Fellowship course considers the social poetics of skateboard culture, with special attention to style, motion, and physical space. Co-taught by Kyle Beachy, Tina Post, and Alexis Sablone, the course will feature film screenings and panels on embodied style, narrative, time, and the built environment, along with skateboarding's anti-scarcity and communal structures that both subvert and reframe capitalist competition. Students will produce a short performance work as the culminating project of the class.","Tina Post, Kyle Beachy, and Alexis Sablone","SpringEquivalent Course(s): AMER 20566, TAPS 20420",,"AMER 20566, TAPS 20420"
ENGL ,Film and Fiction,100 Units,"This course addresses three distinct but related critical problems in the contemporary understanding of film and fiction. The most general is the question of how we might go about linking the practice of criticism in the literary arts with that of the  screen arts.  Where are the common issues of structure, form, narration, point of view management, and the like? Where, on the other hand, are the crucial differences that lie in the particularities of each domain-the problem that some have labeled ""medium specificity"" in the arts? The second problem has to do more specifically with questions of adaptation. Adaptation is a fact of our cultural experience that we encounter in many circumstances, but perhaps in non more insistently as when we witness the reproduction of a literary narrative in cinematic or televisual form? Adaptation theory has taught us to look beyond the narrow criterion of ""fidelity"" a far too limiting in scope? But when we look beyond, what do we look for, and what other concepts guide our exploration? The third and final problem has to do with the now rampant genre of the ""film based on fact,"" especially when the facts derive from a particular source text, as in the recent case of Spike Lee's BlacKkKlansman? What has this genre become so popular? What are its particular genre markings (e.g., excessive stylization, the use of documentary footage of the actual persons and events involved)? How does fictionalization operate on the facts in particular cases?",James Chandler,Spring,"Students enrolled in the course will be expected to attend screenings and participate in class discussions. There will be a written exercise at midterm (3-4 pp.) and a longer final paper (12pp.).Note(s): (Fiction, 1650-1830, 1830-1940)",CMST 25820
ENGL ,The Adventures of Augie March,100 Units,"Court Theatre has commissioned Pulitzer Prize and Tony Award-winning playwright David Auburn, AB'91, to write a stage adaptation of Saul Bellow's novel of mid-century Chicago, The Adventures of Augie March. Students in this course will assist in the dramaturgical preparations for the Spring 2019 premiere of Auburn's work, and in so doing acquire hands-on experience of the techniques involved in bringing literary works to stage. They will engage in close readings of the novel and its relationship to drafts of the script, examine how Bellow drew from his own coming-of-age experiences as an immigrant in Depression-era Chicago to create the character of Augie March, and seek out primary source materials at libraries and museums throughout the city to help contextualize the work for the director, actors, costume and sound designers. Guest lectures will include David Auburn, Court Theatre Artistic Director Charles Newell, and Dr. Peter Alter, Curator of the Studs Terkel Oral History Center.",N. Titone,AutumnNote(s): Attendance at first class is mandatory.Equivalent Course(s): TAPS 20750,,TAPS 20750
ENGL ,The Enterprise of Middlemarch,100 Units,"Students will begin by taking up the Norton edition and reading the novel through; discussion will then proceed by re-reading (along with some other materials from that edition) taking up carious topics, e.g  Eliot's self-presentation of her authorial aims, some important fictional choices (e.g: why a provincial town? why set the novel in 1832? etc.). Then we will consider the complex set of plots and their relation to each other. Other questions: how does the book represent itself as a model for the novel as a genre? Where does it fit in Eliot's career?
""There will be unexpected questions. This is the sort of course in which it is important to follow where the class leads.""",,,,"GNSE 21211, FNDL 21210"
ENGL ,Postcolonial Bildungsroman,100 Units,"In this course, we consider the novel of subject formation in the twentieth-century, with a particular emphasis on postcolonial adaptations of this form. We examine how different instances of the genre play across tropes of aesthetic education, self-making, and nation-building. Readings will likely include Conrad's Lord Jim, E.M. Forster's A Passage to India, Olive Schreiner's Story of an African Farm, and Tsitsi Dangarembga's Nervous Conditions, as well as key critical pieces by Mikhail Bakhtin, Marc Redfield, and Jed Esty, among others.",Darrel Chia,"SpringEquivalent Course(s): ENGL 40202, MAPH 40202",,"ENGL 40202, MAPH 40202"
ENGL ,Hamlet: Adventures of a Text,100 Units,"After a lifetime with Hamlet, I've become increasingly interested by the fluidity of the text: not only is there much too much of it, but there are also significant differences between the 2nd Quarto and the Folio-to say nothing of the 1st quarto. Nevertheless, there is (in my mind at least) no question that we have Hamlet! I intend with this class to explore the play in quest (as it were) of the essential Hamlet, reflecting on its contradictions, shifting perspectives, puzzles. For instance: why doesn't Hamlet go back to Wittenburg-is it his ambition, his mother, his sense that he has to deal with his uncle, or is it something else? Is Hamlet mad or feigning or something in between? Is he changed by his adventure with the pirates? Etc.
We will use both volumes of the Arden 3rd edition. First, we'll spend some weeks going through the Folio text scene by scene, then we'll tackle the 1st Quarto, inquiring into Shakespeare's creative process and his relation to actual production. Some attention will be given also to the history of the reception of Hamlet. Instruction by discussion; final paper preceded by required submission of a project and opportunity to submit a draft for comments.",J. Redfield,Spring,Graduate Students by Consent Only,FNDL 21215
ENGL ,James Joyce: Ulysses,100 Units,"This course considers themes that include the problems of exile, homelessness, and nationality; the mysteries of paternity and maternity; the meaning of the Return; Joyce's epistemology and his use of dream, fantasy, and hallucinations; and Joyce's experimentation with and use of language.",S. Meredith,SpringEquivalent Course(s): FNDL 21300,,FNDL 21300
ENGL ,"Gender, Capital, and Desire: Jane Austen and Critical Interpretation",100 Units,"Today, Jane Austen is one of the most famous (perhaps the most famous), most widely read, and most beloved of eighteenth- and nineteenth-century British novelists. In the 200 years since her authorial career, her novels have spawned countless imitations, homages, parodies, films, and miniseries - not to mention a thriving ""Janeite"" fan culture. For just as long, her novels have been the objects of sustained attention by literary critics, theorists, and historians. For example, feminist scholars have long been fascinated by Austen for her treatments of feminine agency, sociality, and desire. Marxists read her novels for the light they shed on an emergent bourgeoisie on the eve of industrialization. And students of the ""rise of the novel"" in English are often drawn to Austen as an innovator of new styles of narration and a visionary as to the potentials of the form. This course will offer an in-depth examination of Austen, her literary corpus, and her cultural reception as well as a graduate-level introduction to several important schools of critical and theoretical methodology. We will read all six of Austen's completed novels in addition to criticism spanning feminism, historicism, Marxism, queer studies, postcolonialism, and psychoanalysis. Readings may include pieces by Sara Ahmed, Frances Ferguson, William Galperin, Deidre Lynch, D.A. Miller, Edward Said, Eve Kosofsky Sedgwick, and Raymond Williams. (18th/19th, 20th/21st)",Tristan Schweiger,Autumn,Open to MA and PhD students; 3rd- and 4th-year undergrads,"MAPH 40130, GNSE 21303, ENGL 41360, GNSE 41303"
ENGL ,"Ships, Tyrants, and Mutineers",100 Units,"Since the Renaissance beginnings of the ""age of sail,"" the ship has been one of literature's most contested, exciting, fraught, and ominous concepts. Ships are, on the one hand, globe-traversing spaces of alterity and possibility that offer freedom from the repression of land-based systems of power. And they are Michel Foucault's example of the heterotopia par excellence. From Lord Byron to Herman Melville to Anita Loos, the ship has been conceived as a site of queerness and one that puts great pressure on normative constructions of gender. At the same time, the ship has been a primary mechanism for the brutality of empire and hegemony of capital, the conduit by which vast wealth has been expropriated from the colony, military domination projected around the world, and millions of people kidnapped and enslaved. Indeed, the horror of the ""Middle Passage"" of the Atlantic slave trade has been a major focus of inquiry for theorists like Paul Gilroy and Hortense Spillers, interrogating how concepts of racial identity and structures of racism emerge out of oceanic violence. In the 20th and 21st centuries, science-fiction writers have sent ships deep into outer space, reimagining human social relations and even humans-as-species navigating the stars. While focusing on the Enlightenment and 19th century, we will examine literary and filmic texts through the present that have centered on the ship, as well as theoretical texts that will help us to deepen our inquiries. (18th/19th)",Tristan Schweiger,"WinterNote(s): Open to open to 3rd and 4th years.Equivalent Course(s): MAPH 41370, GNSE 41370, ENGL 41370, GNSE 21370",,"MAPH 41370, GNSE 41370, ENGL 41370, GNSE 21370"
ENGL ,Futures Other Than Ours: Science Fiction and Utopia,100 Units,"Science fiction is often mistaken for a variety of futurism, extrapolating what lies ahead. This class will consider what kind of relationship science fiction might have to the future other than prediction, anticipation, optimism or pessimism. How might science fiction enable thinking or imaging futures in modes other than those available to liberalism (progress, reproduction, generation) or neoliberalism (speculation, anticipation, investment)? This class asks how science fiction constitutes its horizons, where and how difference emerges in utopias, and what it might be to live in a future that isn't ours. Readings may include SF works by Delany, Le Guin, Russ, Butler, Robinson, Banks, Ryman, Jones; theoretical and critical readings by Bloch, Jameson, Suvin, Munoz, Murphy, and others.",Hilary Strang,"WinterNote(s): Email the instructor directly for consent.Equivalent Course(s): ENGL 41420, MAPH 41400",,"ENGL 41420, MAPH 41400"
ENGL ,"American Muckrakers: The Literature of Exposé, 1900/2000",100 Units,"This seminar examines the genre of American ""muckraking,"" a form of journalism and fiction intended to expose social and economic injustices. We attend, in particular, to writers active in the years surrounding 1900, when muckraking narratives enjoyed great social influence, and then turn to the new crop of prominent muckrakers that emerged around 2000. In coining the term ""muck-rake"" in a 1906 speech, President Theodore Roosevelt linked the genre's aesthetic deficiencies to a potentially dangerous political impact: Its tendency towards ""hysteric sensationalism"" threatened to provoke a ""morbid and vicious public sentiment"" marked by cynical apathy. Though we may not end up agreeing with Roosevelt, the seminar picks up his emphasis on the relationship between the aesthetics and politics of exposé in our examination of muckraking media. We will discuss the narrative strategies of a genre often designated as ""bad"" literature, focusing, in particular, on the link between its purported aesthetic deficiencies-populism, sentimentalism, melodrama, sensationalism-and its political mission. Last but certainly not least, this seminar situates muckraking narratives in their historical contexts-what they hoped to expose, why, and what impact they ended up having. Texts in this course may include the work of: Upton Sinclair, Ida Tarbell, Jacob Riis, Ray Stannard Baker, Frank Norris, Lincoln Steffens, Barbara Ehrenreich, Eric Schlosser, Naomi Klein, Michael Moore, and Laurie Garrett.",Agnes Malinowska,"SpringEquivalent Course(s): MAPH 41600, ENGL 41644",,"MAPH 41600, ENGL 41644"
ENGL ,Empire and the Novel,100 Units,"This course investigates how the rise of the nineteenth-century British novel is intimately linked to the expansion of the British Empire. Many understand that this empire was based on unfair trade relations, indigenous genocide, and the exploitative labor of millions, but it can be difficult at times to see how this atrocious history fits into the domestic and metropolitan realism of the novel. How does the practice of imperialism impact the conventions of domestic fiction? How are the novel's constructions of gender, race, and class related to the political status of colonized and enslaved peoples? Our focus will be to connect narrative form with the realities of imperialism and colonial rule, but we will also draw on other genres of nineteenth-century cultural production such as autobiography, visual art, and political essays in order to help us trace the sociopolitical conditions that made empire possible. Fictional readings may include work by Charlotte Brontë, Wilkie Collins, George Eliot, Olive Schreiner, and others. Non-fictional readings may include work by Aimé Césaire, Franz Fanon, Saidiya Hartman, Karl Marx, Mary Jane Seacole, Edward Said, Gayatri Spivak. (Fiction, 1830-1940, Theory)",Rebeca Velasquez,Winter,,
ENGL ,Mapping Racial Formations of Citizenship through the Novel,100 Units,"How is race central to the concept of citizenship? This course investigates the racial roots of the development of citizenship within nineteenth- and twentieth- century histories of slavery, colonialism, migration, eugenics, and miscegenation, with primary focus on the novel. To be a 'citizen' means to claim political belonging in a particular nation-state, but the status of one's racial identity complicates one's access to the rights and privileges that citizenship presupposes. In this course, we trace how the construction of race is integral to the varied meanings of citizenship's lexicon: individual and collective identities, kinship, self-determination, subjectivity, nationhood. Along the way, we will examine the ways that the novel makes visible radical forms of memory, affect, intergenerational forms of connection, and other practices that exceed racialized definitions of the 'citizen' and civic inclusion. Our focus will be to connect narrative form with the realities of racialized citizenship, but we will also draw on other genres of cultural production such as autobiography, visual art, and political essays in order to help us trace the sociopolitical connections between race and citizenship.",Rebeca Velasquez,Spring,,
ENGL ,"Rocks, plants, ecologies: science fiction and the more-than-human",100 Units,"Science fictional worlds are full of entities more familiar and perhaps less noticeable than the aliens that are often thought to typify the genre. Rock formations, plants, metallic seams, plastics, crystalline structures, nuclear waste and oozing seepages are among the entities that allow SF to form estranging questions about what it means to be in relation to others, what it means to live in and through an environment, and what it means to form relations of sustenance and communal possibility with those who do not or cannot return human care and recognition. Such questions about are urgent ones for thinking about climate catastrophe, capital, settler colonialism and endemic pandemics, as well as for thinking substantively about resistance and what life and livable worlds beyond the bleak horizons of the capitalocene could be. This class will engage science fiction (authors may include Ursula Le Guin, Vonda McIntyre, Kim Stanley Robinson, Nalo Hopkinson, Jeff Vandermeer and more) and environmental and social theory of various kind (authors may include Elizabeth Povinelli, Katherine Yusoff, Andreas Malm, Eduardo Kohn, James C. Scott, David Graeber, Jasper Bernes, Mike Davis and more).",Hilary Strang,"WinterEquivalent Course(s): CEGU 21710, ENGL 41710, MAPH 41710",,"CEGU 21710, ENGL 41710, MAPH 41710"
ENGL ,Science fiction against the state,100 Units,"Ursula Le Guin's anarchist utopia, The Dispossessed was published 50 years ago, but its complex imagining of a whole way of life without law, police, money or sovereignty, and its investment in thinking that way of living in relation to environment, gender, freedom and work offers a science fictional horizon for what it might be to live communally in our own moment. This course will read The Dispossessed and other science fiction that imagines what it might mean to live against, beyond or without the state, alongside theorizations that may help us formulate our own visions of other possible worlds. We will pay particular attention to questions of environment and ecological relations, race, gender and social reproduction, and feminist utopias. We'll also spend some time thinking about actually existing forms of living against the state (including blockades, encampments, autonomous zones). SF authors may include Le Guin, Samuel Delany, Kim Stanley Robinson, Tade Thompson, Sally Gearhart, Iain Banks, and ME O'Brien and Eman Abdelhadi. Other authors read may include Saidiya Hartman, Monique Wittig, Fredy Perlman, James Scott, Pierre Clastres, and David Graeber.",Hilary Strang,"SpringEquivalent Course(s): MAPH 41720, GNSE 41720, ENGL 41720, GNSE 21720",,"MAPH 41720, GNSE 41720, ENGL 41720, GNSE 21720"
ENGL ,"People, Places, Things:  Victorian Novel Survey",100 Units,"Quarter Systems and the Victorian novel do not mix well, which is only to say that this course cannot aspire to a comprehensive accounting of the Victorian novel, or the myriad forms of the novel that emerged during Victoria's reign (1837-1901). What it does seek to do, however, is give you some little sense of the Victorian novel's formal and thematic range in a few of the uncharacteristically shorter novels of the period, and-in the bargain-give you a few critical tools and concepts to better figure out what these novels are and what they might be doing. Critical approaches to the Victorian novel are as varied as the novels themselves, perhaps, but I've tried to give you access to some of the more recent interventions that centrally query character and characterization (people), things and the circulation of things, and location and spatialization (places). Jane Eyre, Hard Times, Lady Audley's Secret, The Warden, Jude the Obscure, The Hound of the Baskervilles. (Fiction, 1830-1990)",Elaine Hadley,Spring,,
ENGL ,Marxist Literary Criticism: Fredric Jameson,100 Units,This seminar will provide students with an overview of Marxist literary criticism via the career of one of its most innovative living practitioners.,Sianne Ngai,Spring,Recommended: BA - ENGL 11200: Fundamentals of Literary Criticism,CCCT 22200
ENGL ,Special Topics in Criticism and Theory: Gender and Sexuality,100 Units,"An introduction to classic texts in feminist and queer literary criticism. 
(Theory, 1840-1990)",Sianne Ngai,"SpringEquivalent Course(s): CCCT 22212, GNSE 20134",,"CCCT 22212, GNSE 20134"
ENGL ,Black Game Theory,100 Units,"This course explores games created by, for, or about the Black diaspora, though with particular emphasis on the United States. We will analyze mainstream ""AAA"" games, successful independent and art games, and educational games. Beyond video games, we will take a comparative media studies perspective that juxtaposes video games with novels, films, card games, board games, and tabletop roleplaying games. Readings will be drawn from writing by Frantz Fanon, Noah Wardrip-Fruin, Lindsay Grace, Saidiya Hartman, Sarah Juliet Lauro, Achille Mbembe, Fred Moten, Frank B. Wilderson, and others.",Patrick Jagoda and Ashlyn Sparrow,"WinterEquivalent Course(s): RDIN 22350, CMST 32350, ENGL 32352, CDIN 32350, RDIN 32350, MAAD 12350, CMST 22350",,"RDIN 22350, CMST 32350, ENGL 32352, CDIN 32350, RDIN 32350, MAAD 12350, CMST 22350"
ENGL ,Working 9 to 5,100 Units,"This course will examine representations of labor and labor struggle in literature, film, and music spanning the 18th through 21st centuries. Theoretical and critical readings will bring Marxist and feminist lenses to the primary texts at hand, in addition to examinations of race, labor, and capital. Primary texts might include Robinson Crusoe, Bartleby the Scrivener, Mary Barton, Blood on the Forge, Sister Carrie, Lucy, 9 to 5, Harlan County USA, and Office Space. (18th/19th, 20th/21st)",Tristan Schweiger,Winter,Open to MA and PhD students; 3rd- and 4th-year undergrads,ENGL 42360
